Customer ID,MonetaryValue,Frequency,Recency,Cluster,Simplified Cluster Label
12348.0,1797.24,4,74,1,Churn Risk
12349.0,1757.55,1,18,1,Churn Risk
12350.0,334.4,1,309,0,Inactive
12352.0,2506.04,8,35,2,Loyal
12353.0,89.0,1,203,0,Inactive
12354.0,1079.4,1,231,3,Growing
12355.0,459.4,1,213,0,Inactive
12356.0,2811.43,3,22,2,Loyal
12358.0,1168.06,2,1,3,Growing
12360.0,2662.06,3,51,2,Loyal
12361.0,189.9,1,286,0,Inactive
12363.0,552.0,2,109,0,Inactive
12364.0,1313.1,4,7,3,Growing
12365.0,641.38,2,290,3,Growing
12367.0,168.9,1,3,0,Inactive
12370.0,3545.69,4,50,2,Loyal
12371.0,1887.96,2,44,1,Churn Risk
12372.0,1298.04,3,71,3,Growing
12373.0,364.6,1,310,0,Inactive
12374.0,742.9300000000001,1,24,3,Growing
12375.0,457.5,2,10,0,Inactive
12377.0,1628.12,2,314,1,Churn Risk
12379.0,852.24,2,81,3,Growing
12380.0,2724.81,4,21,2,Loyal
12381.0,1845.31,5,4,1,Churn Risk
12383.0,1850.56,5,184,1,Churn Risk
12384.0,585.27,2,28,0,Inactive
12386.0,401.9,2,337,0,Inactive
12388.0,2780.66,6,15,2,Loyal
12390.0,549.84,1,79,0,Inactive
12391.0,460.89,1,21,0,Inactive
12393.0,1582.6,4,71,1,Churn Risk
12394.0,1272.48,2,63,3,Growing
12395.0,3018.63,12,18,2,Loyal
12397.0,2409.9,2,35,2,Loyal
12398.0,1635.66,1,45,1,Churn Risk
12399.0,1108.65,4,118,3,Growing
12401.0,84.3,1,302,0,Inactive
12402.0,225.6,1,322,0,Inactive
12403.0,427.7,1,49,0,Inactive
12405.0,1710.39,1,148,1,Churn Risk
12406.0,3415.3,2,21,2,Loyal
12407.0,1708.12,5,49,1,Churn Risk
12408.0,2888.55,5,32,2,Loyal
12410.0,693.3299999999999,2,308,3,Growing
12412.0,1226.88,3,74,3,Growing
12413.0,758.1,3,66,3,Growing
12414.0,562.41,3,216,0,Inactive
12417.0,3649.1,9,2,2,Loyal
12418.0,668.58,1,112,3,Growing
12420.0,600.39,1,63,3,Growing
12421.0,807.04,4,15,3,Growing
12422.0,803.5600000000001,3,95,3,Growing
12423.0,1859.31,8,0,1,Churn Risk
12424.0,1760.96,2,162,1,Churn Risk
12425.0,777.2,1,77,3,Growing
12426.0,582.73,1,194,0,Inactive
12427.0,825.8,3,21,3,Growing
12430.0,256.4,1,42,0,Inactive
12434.0,806.14,2,84,3,Growing
12436.0,509.01,1,99,0,Inactive
12438.0,2906.85,2,13,2,Loyal
12441.0,173.55,1,366,0,Inactive
12442.0,172.06,1,2,0,Inactive
12445.0,133.4,1,21,0,Inactive
12446.0,1002.31,1,57,3,Growing
12447.0,476.49,1,242,0,Inactive
12448.0,449.45,1,43,0,Inactive
12450.0,197.88,2,155,0,Inactive
12452.0,430.57,2,16,0,Inactive
12453.0,707.09,1,133,3,Growing
12454.0,3528.34,1,55,2,Loyal
12455.0,2466.86,6,72,2,Loyal
12456.0,3181.04,3,43,2,Loyal
12457.0,2363.23,7,65,1,Churn Risk
12458.0,947.4,2,70,3,Growing
12461.0,826.88,2,93,3,Growing
12462.0,1189.59,2,18,3,Growing
12463.0,1344.78,4,52,3,Growing
12464.0,1212.05,8,9,3,Growing
12465.0,742.1899999999999,2,16,3,Growing
12468.0,729.5400000000001,2,187,3,Growing
12475.0,723.38,1,53,3,Growing
12478.0,680.99,1,3,3,Growing
12479.0,527.2,1,10,0,Inactive
12480.0,3281.63,4,27,2,Loyal
12483.0,2484.98,8,16,2,Loyal
12488.0,1298.66,3,9,3,Growing
12489.0,334.93,1,335,0,Inactive
12491.0,460.4,1,38,0,Inactive
12492.0,263.21000000000004,2,62,0,Inactive
12493.0,433.74,2,165,0,Inactive
12494.0,1246.1,7,15,3,Growing
12497.0,1043.1,1,81,3,Growing
12498.0,403.7000000000001,3,20,0,Inactive
12501.0,2169.39,1,336,1,Churn Risk
12504.0,482.05,2,17,0,Inactive
12506.0,73.5,1,232,0,Inactive
12507.0,1304.81,3,133,3,Growing
12508.0,398.27,2,25,0,Inactive
12509.0,176.5,1,283,0,Inactive
12510.0,982.57,2,142,3,Growing
12512.0,138.03,2,65,0,Inactive
12513.0,612.29,1,112,3,Growing
12514.0,1017.68,1,266,3,Growing
12515.0,383.7,1,352,0,Inactive
12516.0,1312.06,2,77,3,Growing
12517.0,2502.84,5,27,2,Loyal
12518.0,2056.89,5,0,1,Churn Risk
12519.0,340.84,1,63,0,Inactive
12520.0,2634.26,5,78,2,Loyal
12521.0,599.68,1,142,0,Inactive
12522.0,192.72,2,38,0,Inactive
12523.0,1789.77,11,18,1,Churn Risk
12526.0,1316.66,3,0,3,Growing
12527.0,348.71000000000004,3,81,0,Inactive
12528.0,1933.48,6,8,1,Churn Risk
12530.0,1662.28,4,59,1,Churn Risk
12531.0,125.22,1,14,0,Inactive
12532.0,349.83000000000004,1,29,0,Inactive
12534.0,1089.18,1,130,3,Growing
12535.0,716.35,2,91,3,Growing
12538.0,363.95,1,28,0,Inactive
12541.0,981.18,3,29,3,Growing
12544.0,372.7,1,35,0,Inactive
12545.0,1000.39,2,74,3,Growing
12546.0,1161.5,2,46,3,Growing
12547.0,207.8,2,197,0,Inactive
12548.0,95.2,1,165,0,Inactive
12550.0,964.83,1,78,3,Growing
12551.0,168.0,1,357,0,Inactive
12552.0,437.82,2,38,0,Inactive
12553.0,3692.28,10,7,2,Loyal
12556.0,603.71,2,49,3,Growing
12558.0,269.96,1,7,0,Inactive
12559.0,561.71,2,310,0,Inactive
12560.0,2134.01,3,4,1,Churn Risk
12561.0,238.85,1,302,0,Inactive
12564.0,456.9,1,260,0,Inactive
12565.0,145.92,1,288,0,Inactive
12566.0,351.65,1,85,0,Inactive
12571.0,519.61,2,39,0,Inactive
12572.0,1020.42,2,8,3,Growing
12573.0,160.54000000000002,1,226,0,Inactive
12574.0,218.45,1,315,0,Inactive
12576.0,1315.83,5,35,3,Growing
12577.0,657.8,3,34,3,Growing
12578.0,2794.51,2,20,2,Loyal
12579.0,440.42,1,77,0,Inactive
12580.0,415.7,1,246,0,Inactive
12581.0,197.71,1,39,0,Inactive
12582.0,511.36,2,238,0,Inactive
12584.0,2338.15,9,3,1,Churn Risk
12585.0,2040.1,2,233,1,Churn Risk
12586.0,196.94000000000003,1,16,0,Inactive
12587.0,144.0,1,7,0,Inactive
12588.0,214.9,1,38,0,Inactive
12589.0,646.68,2,28,3,Growing
12591.0,452.85,1,316,0,Inactive
12592.0,437.6,2,91,0,Inactive
12593.0,418.1,3,108,0,Inactive
12594.0,3338.2200000000003,10,37,2,Loyal
12596.0,618.27,2,50,3,Growing
12598.0,3023.08,8,9,2,Loyal
12599.0,1032.58,7,28,3,Growing
12600.0,2599.04,10,28,2,Loyal
12601.0,577.0600000000001,5,189,0,Inactive
12602.0,153.12,1,58,0,Inactive
12603.0,739.1999999999999,1,21,3,Growing
12604.0,254.18,2,78,0,Inactive
12607.0,1579.51,1,59,1,Churn Risk
12609.0,1126.85,3,77,3,Growing
12610.0,2099.54,5,22,1,Churn Risk
12611.0,1193.32,1,51,3,Growing
12612.0,704.0400000000001,1,73,3,Growing
12613.0,3344.38,5,56,2,Loyal
12614.0,315.6,1,277,0,Inactive
12615.0,2291.19,4,1,1,Churn Risk
12616.0,713.3,2,94,3,Growing
12617.0,355.53,1,28,0,Inactive
12618.0,177.31,1,21,0,Inactive
12619.0,3641.24,9,15,2,Loyal
12620.0,1339.41,3,14,3,Growing
12622.0,180.1,1,231,0,Inactive
12623.0,305.1,1,275,0,Inactive
12624.0,641.13,2,105,3,Growing
12625.0,2683.82,2,211,2,Loyal
12628.0,786.46,3,3,3,Growing
12630.0,1270.88,2,9,3,Growing
12631.0,640.5,1,56,3,Growing
12633.0,2163.98,4,58,1,Churn Risk
12635.0,1689.18,2,89,1,Churn Risk
12638.0,671.69,1,32,3,Growing
12639.0,486.1,1,238,0,Inactive
12640.0,1174.58,3,23,3,Growing
12641.0,185.9,1,114,0,Inactive
12642.0,1013.26,3,24,3,Growing
12643.0,3344.64,6,127,2,Loyal
12644.0,477.91,1,129,0,Inactive
12645.0,1775.18,4,33,1,Churn Risk
12646.0,1346.97,2,4,3,Growing
12648.0,318.05,1,154,0,Inactive
12649.0,623.51,3,106,3,Growing
12650.0,314.44,1,2,0,Inactive
12651.0,114.0,1,334,0,Inactive
12652.0,919.98,1,330,3,Growing
12653.0,2209.85,2,148,1,Churn Risk
12654.0,601.98,5,10,3,Growing
12657.0,1643.18,4,10,1,Churn Risk
12658.0,686.05,1,18,3,Growing
12659.0,91.68,1,29,0,Inactive
12660.0,245.1,1,10,0,Inactive
12665.0,63.0,1,324,0,Inactive
12667.0,620.13,1,57,3,Growing
12669.0,2744.03,3,150,2,Loyal
